set,carbon_dots_conc_mg_ml,erythromycin_conc_ug_ml,response
1,3.0,15.0,T
1,3.0,7.5,T
1,3.0,3.75,T
1,3.0,1.875,T
1,3.0,0.9375,T
1,1.5,15.0,T
1,1.5,7.5,T
1,1.5,3.75,T
1,1.5,1.875,T
1,1.5,0.9375,T
1,0.75,15.0,T
1,0.75,7.5,T
1,0.75,3.75,SC
1,0.75,1.875,SC
1,0.75,0.9375,T
1,0.375,15.0,SC
1,0.375,7.5,SC
1,0.375,3.75,SC
1,0.375,1.875,SC
1,0.375,0.9375,T
1,0.1875,15.0,SC
1,0.1875,7.5,SC
1,0.1875,3.75,SC
1,0.1875,1.875,SC
1,0.1875,0.9375,SC
2,3.0,15.0,T
2,3.0,7.5,T
2,3.0,3.75,T
2,3.0,1.875,T
2,3.0,0.9375,T
2,1.5,15.0,T
2,1.5,7.5,T
2,1.5,3.75,T
2,1.5,1.875,T
2,1.5,0.9375,T
2,0.75,15.0,SC
2,0.75,7.5,SC
2,0.75,3.75,SC
2,0.75,1.875,T
2,0.75,0.9375,SC
2,0.375,15.0,SC
2,0.375,7.5,SC
2,0.375,3.75,SC
2,0.375,1.875,SC
2,0.375,0.9375,SC
2,0.1875,15.0,SC
2,0.1875,7.5,SC
2,0.1875,3.75,SC
2,0.1875,1.875,SC
2,0.1875,0.9375,SC
3,3.0,15.0,T
3,3.0,7.5,T
3,3.0,3.75,T
3,3.0,1.875,T
3,3.0,0.9375,T
3,1.5,15.0,T
3,1.5,7.5,T
3,1.5,3.75,T
3,1.5,1.875,T
3,1.5,0.9375,T
3,0.75,15.0,SC
3,0.75,7.5,T
3,0.75,3.75,SC
3,0.75,1.875,T
3,0.75,0.9375,T
3,0.375,15.0,SC
3,0.375,7.5,SC
3,0.375,3.75,SC
3,0.375,1.875,SC
3,0.375,0.9375,T
3,0.1875,15.0,SC
3,0.1875,7.5,SC
3,0.1875,3.75,SC
3,0.1875,1.875,SC
3,0.1875,0.9375,SC
