set,erythromycin_mic_combination_ug_ml,carbon_dots_mic_combination_mg_ml,fic_erythromycin,fic_carbon_dots,computed_fic_index,computed_interpretation
1,15.0,0.375,1.0,1.0,2.0,Indifferent
1,7.5,0.375,0.5,1.0,1.5,Indifferent
1,3.75,0.75,0.25,2.0,2.25,Indifferent
1,1.875,0.75,0.125,2.0,2.125,Indifferent
1,0.9375,0.1875,0.0625,0.5,0.5625,Additive
2,15.0,0.75,1.0,2.0,3.0,Indifferent
2,7.5,0.75,0.5,2.0,2.5,Indifferent
2,3.75,0.75,0.25,2.0,2.25,Indifferent
2,1.875,0.375,0.125,1.0,1.125,Indifferent
2,0.9375,0.75,0.0625,2.0,2.0625,Indifferent
3,15.0,0.75,1.0,2.0,3.0,Indifferent
3,7.5,0.375,0.5,1.0,1.5,Indifferent
3,3.75,0.75,0.25,2.0,2.25,Indifferent
3,1.875,0.375,0.125,1.0,1.125,Indifferent
3,0.9375,0.1875,0.0625,0.5,0.5625,Additive
