group1,group2,meandiff,p-adj,lower,upper,reject
0.9375,1.875,0.3958,0.9187,-1.1939,1.9856,False
0.9375,15.0,1.6042,0.0477,0.0144,3.1939,True
0.9375,3.75,1.1875,0.1768,-0.4022,2.7772,False
0.9375,7.5,0.7708,0.5312,-0.8189,2.3606,False
1.875,15.0,1.2083,0.1661,-0.3814,2.7981,False
1.875,3.75,0.7917,0.5077,-0.7981,2.3814,False
1.875,7.5,0.375,0.9318,-1.2147,1.9647,False
15.0,3.75,-0.4167,0.9042,-2.0064,1.1731,False
15.0,7.5,-0.8333,0.4619,-2.4231,0.7564,False
3.75,7.5,-0.4167,0.9042,-2.0064,1.1731,False
