item,mean,std,min,max,interpretation
hsa1,3.82,1.023679375140111,1.0,5.0,Agree
hsa2,3.94,1.1126484517497914,1.0,5.0,Agree
hsa3,2.6733333333333333,1.3285540743272866,1.0,5.0,Neutral
hsa4,3.94,0.942864406259248,1.0,5.0,Agree
hsa5,3.9266666666666667,0.8754417229552334,1.0,5.0,Agree
hsa6,4.0,1.0555064944051948,1.0,5.0,Agree
hsa7,3.8266666666666667,0.9029903094061595,1.0,5.0,Agree
irs1,3.7533333333333334,1.0987281644785232,1.0,5.0,Agree
irs2,4.026666666666666,0.8895113405999546,1.0,5.0,Agree
irs3,4.066666666666666,0.8327738614117036,1.0,5.0,Agree
irs4,4.1,0.7486004839457148,1.0,5.0,Agree
irs5,3.933333333333333,1.0275837735353306,1.0,5.0,Agree
irs6,4.06,0.9357192259426209,1.0,5.0,Agree
irs7,3.3,1.2783693472230406,1.0,5.0,Neutral
pab1,4.173333333333333,0.9465349500325434,1.0,5.0,Agree
pab2,2.92,1.42140869723094,1.0,5.0,Neutral
pab3,2.44,1.102042033815091,1.0,5.0,Disagree
pab4,3.98,1.0392950631018698,1.0,5.0,Agree
pab5,2.86,1.1645202370720464,1.0,5.0,Neutral
pab6,2.58,1.1659025941563055,1.0,5.0,Disagree
pab7,2.3733333333333335,1.0070001077468846,1.0,5.0,Disagree
vh1,4.206666666666667,0.8216587141298951,1.0,5.0,Agree
vh2,3.38,1.354435913690752,1.0,5.0,Neutral
vh3,4.406666666666666,0.7244221642356025,1.0,5.0,Strongly Agree
vh4,4.293333333333333,0.764538433082311,1.0,5.0,Strongly Agree
vh5,4.433333333333334,0.708686910042315,1.0,5.0,Strongly Agree
