scale,item_deleted,alpha_if_deleted,corrected_item_total_r,p_value
Parental Attitudes and Beliefs,pab4,0.6700459532021438,-0.08259530593080146,0.3149750912323288
Parental Attitudes and Beliefs,pab1,0.6249948696901294,0.06059066664777969,0.4613958546682106
Parental Attitudes and Beliefs,pab2,0.5776742033806237,0.2687022474243917,0.0008849818867312377
Parental Attitudes and Beliefs,pab3,0.5437758304540458,0.33940454724735836,2.148362597570067e-05
Parental Attitudes and Beliefs,pab7,0.5129110765640706,0.43996087889191715,1.7678322717164242e-08
Parental Attitudes and Beliefs,pab5,0.4554465592972182,0.5617779562297602,7.475512826316269e-14
Parental Attitudes and Beliefs,pab6,0.4148256846722996,0.6562264536641836,7.839605537294804e-20
Health System Accessibility,hsa3,0.872294974150634,-0.1642859224882856,0.04454535850618815
Health System Accessibility,hsa7,0.7286971980676329,0.40629110717331235,2.486899300724446e-07
Health System Accessibility,hsa1,0.6837970807867151,0.6086067035284607,1.4375695689425612e-16
Health System Accessibility,hsa5,0.6834920100925146,0.645165905874215,5.056223862196847e-19
Health System Accessibility,hsa4,0.6784028410335643,0.6498414040954245,2.3211859038228898e-19
Health System Accessibility,hsa2,0.6507630851172795,0.72387671149215,1.2499790311641164e-25
Health System Accessibility,hsa6,0.6485521250736942,0.7460274300837877,6.412777354153932e-28
Intervention-Related Strategy,irs4,0.854888558509096,0.3496060481977107,1.1590526508295388e-05
Intervention-Related Strategy,irs7,0.8293194052294378,0.6057956685222733,2.154533998822435e-16
Intervention-Related Strategy,irs6,0.8277267408045856,0.5774773143792099,1.0259020539110146e-14
Intervention-Related Strategy,irs1,0.8210636052991406,0.6245752911698471,1.3351014101271395e-17
Intervention-Related Strategy,irs5,0.8184027023289809,0.6383799645773138,1.52844384689727e-18
Intervention-Related Strategy,irs3,0.8085524183554801,0.7333061232532574,1.4127681828175328e-26
Intervention-Related Strategy,irs2,0.8039943553761121,0.7506129478678051,2.0099381869815802e-28
Vaccine Hesitancy / Readiness,vh2,0.8860532943001485,-0.019700243039930728,0.8108865034209858
Vaccine Hesitancy / Readiness,vh4,0.530065140290438,0.5551546596154026,1.675332638534444e-13
Vaccine Hesitancy / Readiness,vh5,0.5113578910729846,0.6229124349334659,1.7208970650601088e-17
Vaccine Hesitancy / Readiness,vh1,0.49174049275671106,0.6190555237165456,3.082738953877558e-17
Vaccine Hesitancy / Readiness,vh3,0.48303858797269666,0.6822782801179695,7.026855595231591e-22
