item,response,frequency
pab1,1.0,2
pab1,2.0,11
pab1,3.0,11
pab1,4.0,61
pab1,5.0,65
pab2,1.0,38
pab2,2.0,24
pab2,3.0,19
pab2,4.0,50
pab2,5.0,19
pab3,1.0,21
pab3,2.0,82
pab3,3.0,18
pab3,4.0,18
pab3,5.0,11
pab4,1.0,1
pab4,2.0,20
pab4,3.0,16
pab4,4.0,57
pab4,5.0,56
pab5,1.0,19
pab5,2.0,48
pab5,3.0,26
pab5,4.0,49
pab5,5.0,8
pab6,1.0,26
pab6,2.0,60
pab6,3.0,23
pab6,4.0,33
pab6,5.0,8
pab7,1.0,22
pab7,2.0,80
pab7,3.0,24
pab7,4.0,18
pab7,5.0,6
hsa1,1.0,3
hsa1,2.0,20
hsa1,3.0,16
hsa1,4.0,73
hsa1,5.0,38
hsa2,1.0,4
hsa2,2.0,20
hsa2,3.0,13
hsa2,4.0,57
hsa2,5.0,56
hsa3,1.0,37
hsa3,2.0,43
hsa3,3.0,12
hsa3,4.0,48
hsa3,5.0,10
hsa4,1.0,2
hsa4,2.0,14
hsa4,3.0,17
hsa4,4.0,75
hsa4,5.0,42
hsa5,1.0,2
hsa5,2.0,11
hsa5,3.0,18
hsa5,4.0,84
hsa5,5.0,35
hsa6,1.0,6
hsa6,2.0,12
hsa6,3.0,11
hsa6,4.0,68
hsa6,5.0,53
hsa7,1.0,3
hsa7,2.0,11
hsa7,3.0,25
hsa7,4.0,81
hsa7,5.0,30
irs1,1.0,2
irs1,2.0,32
irs1,3.0,5
irs1,4.0,73
irs1,5.0,38
irs2,1.0,1
irs2,2.0,13
irs2,3.0,12
irs2,4.0,79
irs2,5.0,45
irs3,1.0,1
irs3,2.0,10
irs3,3.0,11
irs3,4.0,84
irs3,5.0,44
irs4,1.0,1
irs4,2.0,7
irs4,3.0,8
irs4,4.0,94
irs4,5.0,40
irs5,1.0,3
irs5,2.0,17
irs5,3.0,15
irs5,4.0,67
irs5,5.0,48
irs6,1.0,1
irs6,2.0,16
irs6,3.0,7
irs6,4.0,75
irs6,5.0,51
irs7,1.0,15
irs7,2.0,36
irs7,3.0,13
irs7,4.0,61
irs7,5.0,25
vh1,1.0,2
vh1,2.0,4
vh1,3.0,14
vh1,4.0,71
vh1,5.0,59
vh2,1.0,20
vh2,2.0,28
vh2,3.0,8
vh2,4.0,63
vh2,5.0,31
vh3,1.0,2
vh3,3.0,9
vh3,4.0,63
vh3,5.0,76
vh4,1.0,2
vh4,2.0,1
vh4,3.0,13
vh4,4.0,69
vh4,5.0,65
vh5,1.0,1
vh5,2.0,1
vh5,3.0,10
vh5,4.0,58
vh5,5.0,80
