Material,pH,n,mean_deltaE,sd_deltaE,min_deltaE,max_deltaE
Coated Suture,5.5,5,15.116,4.221,10.243,20.631
Coated Suture,6.5,5,18.669,2.791,14.425,21.438
Coated Suture,7.0,5,4.247,2.597,1.373,7.129
Coated Suture,7.5,5,15.701,3.705,10.817,19.58
Coated Suture,8.5,5,24.522,3.26,19.135,27.703
Litmus Paper,5.5,5,5.761,2.106,3.144,8.713
Litmus Paper,6.5,5,6.321,1.936,3.142,8.028
Litmus Paper,7.0,5,3.083,1.246,1.838,4.956
Litmus Paper,7.5,5,7.955,2.379,5.06,10.703
Litmus Paper,8.5,5,11.121,0.96,10.023,12.161
