pH,Trial,Seconds,Mean,Response_ms,Condition
5.5,1,5.28,4.566,5280.0,Non-infection
5.5,2,5.27,,5270.0,Non-infection
5.5,3,3.28,,3280.0,Non-infection
5.5,4,4.4,,4400.0,Non-infection
5.5,5,4.6,,4600.0,Non-infection
6.5,1,5.6,6.12,5600.0,Non-infection
6.5,2,7.1,,7100.0,Non-infection
6.5,3,4.85,,4850.0,Non-infection
6.5,4,7.0,,7000.0,Non-infection
6.5,5,6.05,,6050.0,Non-infection
7.0,1,4.44,4.28,4440.0,Non-infection
7.0,2,3.52,,3520.0,Non-infection
7.0,3,4.24,,4240.0,Non-infection
7.0,4,4.65,,4650.0,Non-infection
7.0,5,4.55,,4550.0,Non-infection
7.5,1,3.81,3.458,3810.0,Infection-indicative
7.5,2,3.17,,3170.0,Infection-indicative
7.5,3,3.17,,3170.0,Infection-indicative
7.5,4,3.52,,3520.0,Infection-indicative
7.5,5,3.62,,3620.0,Infection-indicative
8.5,1,1.15,1.502,1150.0,Infection-indicative
8.5,2,1.43,,1430.0,Infection-indicative
8.5,3,1.71,,1710.0,Infection-indicative
8.5,4,1.69,,1690.0,Infection-indicative
8.5,5,1.53,,1530.0,Infection-indicative
